폴더,label_번호,중복_tracking_id
2020-11-25-16-10-33-02,llab_000126.txt,"[('60', '2번')]"
2020-11-25-16-20-53-04,llab_000048.txt,"[('30', '2번')]"
2020-11-25-16-20-53-04,llab_000047.txt,"[('27', '2번'), ('30', '2번')]"
2020-11-25-16-20-53-04,llab_000046.txt,"[('30', '2번')]"
2020-11-25-16-22-51-02,llab_000130.txt,"[('90', '2번')]"
2020-11-25-16-53-37-01,llab_000142.txt,"[('97', '2번')]"
2020-11-25-17-23-15-04,llab_000036.txt,"[('33', '2번')]"
2020-11-25-17-23-15-04,llab_000035.txt,"[('33', '2번')]"
2020-11-25-17-26-13-03,llab_000066.txt,"[('34', '2번')]"
2020-11-25-17-26-13-03,llab_000065.txt,"[('34', '2번')]"
2020-11-26-08-29-14-03,llab_000167.txt,"[('6', '2번')]"
2020-11-26-08-29-14-03,llab_000166.txt,"[('6', '2번')]"
2020-11-26-10-16-46-02,llab_000166.txt,"[('11', '2번')]"
2020-11-26-10-16-46-02,llab_000043.txt,"[('42', '2번')]"
2020-11-27-06-49-44-01,llab_000036.txt,"[('3', '2번')]"
2020-11-27-17-10-59-03,llab_000115.txt,"[('5', '2번')]"
2020-12-09-09-05-40-01,llab_000033.txt,"[('13', '2번')]"
2020-12-09-09-05-40-01,llab_000032.txt,"[('13', '2번')]"
2020-12-09-09-15-41-01,llab_000150.txt,"[('3', '2번')]"
2020-12-09-09-15-41-01,llab_000122.txt,"[('0', '2번')]"
2020-12-09-09-15-41-01,llab_000044.txt,"[('10', '2번')]"
2020-12-09-09-45-22-01,llab_000044.txt,"[('13', '2번')]"
2020-12-09-10-06-01-01,llab_000167.txt,"[('90', '2번')]"
2020-12-09-10-06-01-01,llab_000148.txt,"[('37', '2번')]"
2020-12-09-10-06-01-01,llab_000115.txt,"[('90', '2번')]"
2020-12-09-10-06-01-01,llab_000105.txt,"[('28', '2번')]"
2020-12-09-10-06-01-01,llab_000071.txt,"[('18', '2번')]"
2020-12-09-10-06-01-01,llab_000070.txt,"[('90', '2번')]"
2020-12-09-10-06-01-03,llab_000055.txt,"[('16', '2번')]"
2020-12-09-10-16-46-02,llab_000132.txt,"[('33', '2번')]"
2020-12-09-10-16-46-02,llab_000131.txt,"[('33', '2번')]"
2020-12-09-10-16-46-02,llab_000130.txt,"[('33', '2번')]"
2020-12-09-10-26-01-03,llab_000022.txt,"[('99', '2번')]"
2020-12-09-11-00-11-03,llab_000053.txt,"[('28', '2번')]"
2020-12-09-11-00-11-03,llab_000002.txt,"[('96', '2번')]"
2020-12-09-11-30-12-02,llab_000169.txt,"[('45', '2번')]"
2020-12-09-11-30-12-03,llab_000078.txt,"[('38', '2번')]"
2020-12-09-11-30-12-03,llab_000064.txt,"[('31', '2번')]"
2020-12-09-11-30-12-03,llab_000062.txt,"[('31', '2번')]"
2020-12-10-10-09-30-03,llab_000127.txt,"[('2', '2번')]"
